post_id,user_id,timestamp,action_type
organic_post_001,user_001,2025-01-15 08:12:03,like
organic_post_001,user_002,2025-01-15 08:15:22,share
organic_post_001,user_003,2025-01-15 08:18:45,comment
organic_post_001,user_004,2025-01-15 08:22:10,like
organic_post_001,user_005,2025-01-15 08:25:33,repost
organic_post_001,user_006,2025-01-15 08:31:17,like
organic_post_001,user_007,2025-01-15 08:36:42,comment
organic_post_001,user_008,2025-01-15 08:42:01,share
organic_post_001,user_009,2025-01-15 08:48:29,like
organic_post_001,user_010,2025-01-15 08:55:14,repost
organic_post_001,user_011,2025-01-15 09:03:07,comment
organic_post_001,user_012,2025-01-15 09:11:23,like
organic_post_001,user_013,2025-01-15 09:20:45,share
organic_post_001,user_014,2025-01-15 09:31:02,like
organic_post_001,user_015,2025-01-15 09:42:18,repost
organic_post_001,user_016,2025-01-15 09:54:36,comment
organic_post_001,user_017,2025-01-15 10:07:59,like
organic_post_001,user_018,2025-01-15 10:22:24,share
organic_post_001,user_019,2025-01-15 10:38:03,like
organic_post_001,user_020,2025-01-15 10:55:47,repost
coordinated_post_002,user_101,2025-01-15 12:00:01,share
coordinated_post_002,user_102,2025-01-15 12:00:02,share
coordinated_post_002,user_103,2025-01-15 12:00:03,like
coordinated_post_002,user_104,2025-01-15 12:00:03,repost
coordinated_post_002,user_105,2025-01-15 12:00:04,comment
coordinated_post_002,user_106,2025-01-15 12:00:04,like
coordinated_post_002,user_107,2025-01-15 12:00:05,share
coordinated_post_002,user_108,2025-01-15 12:00:05,repost
coordinated_post_002,user_109,2025-01-15 12:00:06,like
coordinated_post_002,user_110,2025-01-15 12:00:06,comment
coordinated_post_002,user_101,2025-01-15 12:00:07,like
coordinated_post_002,user_102,2025-01-15 12:00:07,repost
coordinated_post_002,user_103,2025-01-15 12:00:08,share
coordinated_post_002,user_104,2025-01-15 12:00:08,like
coordinated_post_002,user_105,2025-01-15 12:00:09,comment
coordinated_post_002,user_106,2025-01-15 12:00:09,share
coordinated_post_002,user_107,2025-01-15 12:00:10,repost
coordinated_post_002,user_108,2025-01-15 12:00:10,like
coordinated_post_002,user_109,2025-01-15 12:00:11,share
coordinated_post_002,user_110,2025-01-15 12:00:11,comment
